一法  3
一泡  1
一泻千里  1
一洗  1
一洞  2
一派  17
一淹  1
一清早  1
一溪  1
一滴  3
一潭  2
一炬以  1
一炮  1
一点  60
一点一点  2
一点儿  8
一点点  6
一热  1
一照  1
一熬  1
一片  46
一片片  1
一片空白  2
一牛  2
一物  3
一物者  2
一物者斩  1
一猪  2
一王  1
一环  1
一环扣一环  1
一班  23
一瓢  2
一瓶  1
一生  22
一甥  1
一甥及  1
一用  2
一男持  1
一画  1
一番  19
一痒  1
一痛  1
一瘸一拐  3
一白  1
一百  16
一百一十二  1
一百万  1
一百三十里  1
一百二十  3
一百五十  1
一百五十万  1
一百五十步  2
一百五十里  1
一百余  4
一百余万  1
一百余员  1
一百八十里  1
一百只  1
一百多年  2
一百年  1
一百斤  1
一百日  3
一百根  1
一百里  1
一盅  2
一盆  2
一盏  7
一盒  2
一盘  2
一盘散沙  1
一目  3
一直  74
一看  11
一眼  42
一睡  1
一睹  2
一瞧  1
一瞬  2
一瞬间  1
一矛  2
一矛刺  1
一破  2
一碗  1
一碗水  1
一碧  1
一神  1
一种  415
一程  9
一穴  1
一空  3
一窑  2
一窝  1
一窟  1
一窥  1
一站  2
一章  3
一童  1
一端  1
一竹版曰  1
一笑  10
一笑道  1
一笔  3
一等  1
一筋  1
一策  3
一简  1
一箩  1
一箪食  1
一箭  27
一箭之仇  1
一箭之地  2
一箭射  9
一箭射于  1
一箭射来  1
一篇  16
一簇  15
一类  9
一粒  1
一系列  19
一级  1
一纱  1
一纵  1
一纸  4
一组  2
一经  7
一络  1
一统  7
一统天下  5
一维  2
一缕  2
一缕缕  1
一群  16
一群群  1
一老  1
一者  5
一耕夫  2
一耸  1
一耸地  1
一联于  1
一联云  1
一聚尘  1
一肉  1
一股  15
一肩  1
一胜  2
一能  4
一脉  2
一脉相承  2
一脚  7
一脸  6
一臂  1
一臂之力  3
一臂也  1
一至  2
一致  8
一致性  2
一舌辩  3
一般地说  1
一般性  2
一般无二  1
一般而言  1
一般说来  6
一船  4
一艘  1
一色  4
一节  3
一节课  1
一苇  1
一草一木  1
一营  4
一落  1
一虎也  1
一行  23
一表  2
一裹  2
一要  1
一见  15
一观  2
一视同仁  1
一览  2
一览无遗  1
一角  6
一觞  2
一言  12
一言不发  1
一言以蔽之  1
一言救  1
一言既出  1
一言而死  1
一言诉  1
一计  47
一计足  1
一记  2
一诀  1
一词  1
一试  2
一语  3
一说  2
一课  5
一谈  1
一谋  3
一谷  2
一负  2
一败  1
一贯  2
一贼  2
一起  85
一趟  5
一足  1
一跃  8
一跃而起  1
一跃而过  1
一路  43
一路上  7
一路张  1
一路风尘  1
一跳  1
一蹴而就  2
一身  19
一车  3
一轮  210
一软  1
一载  3
一辆  18
一辆车  1
一辈子  3
一辙  1
一辱也  1
一边  79
一过  1
一进  1
一连  21
一连几天  1
一退  1
一通  6
一遍  23
一道  35
一道道  3
一遭  1
一避  1
一郡  2
一部  22
一部分  24
一酸  1
一醉  4
一里  2
一重  2
一针一线  1
一针见血  1
一铜雀  1
一链  1
一镇  1
一长  2
一门  15
一闪  4
一问  2
一间  2
一闹  2
一闻  1
一队  25
一阳生  1
一阵  104
一阵阵  1
一阵风  3
一阶耳  1
一雨  1
一震  1
一霎时  7
一面  183
